X Y u mu P v dvdx dudx dvdy dudy
0.0003524021332115628 0.00063414201269681384 6.08499622 1.78954033e-005 372.194672 8.53285789 -253610.953 -183883.625 183883.625 136458.844
0.00035694309076453464 0.00064049903909972421 6.12133837 1.78953815e-005 369.415436 8.55514717 -255274.5 -185589.438 185589.359 138090.047
0.00036149557224279675 0.00064685125597611405 6.15301847 1.78953615e-005 366.634308 8.57165623 -257077.625 -187415.25 187415.078 139817.484
0.00036605822799311256 0.00065319695494986732 6.18402004 1.78953323e-005 363.853424 8.58659458 -259018.875 -189307.672 189307.438 141571.5
0.00037063178058657862 0.00065953705511701878 6.212152 1.78952978e-005 361.071655 8.59764671 -261098.984 -191296.063 191295.75 143390.406
0.00037522986265032615 0.00066589010779483072 6.24761963 1.78952796e-005 358.289215 8.61769104 -262604.656 -192937.391 192937.063 145017.859
0.00038009009261130207 0.00067258209155706512 6.28739166 1.78952687e-005 355.359161 8.64156914 -263950.438 -194527.516 194527.219 146661.906
0.00038496296779517265 0.00067926764844612958 6.32384872 1.78952523e-005 352.42804 8.66095734 -265456.563 -196228.453 196228.203 148380.906
0.00038984845471477618 0.00068594698807924559 6.3565135 1.78952323e-005 349.495636 8.67539787 -267119.563 -198044.797 198044.578 150182.703
0.00039474614032970789 0.0006926197220359575 6.386415 1.78952068e-005 346.562469 8.68591499 -268941.625 -199964.375 199964.188 152049.766
0.00039965618606916596 0.00069928614881140669 6.41286373 1.78951759e-005 343.628204 8.69183254 -270919.875 -201994.703 201994.578 153993.656
0.00040459275193951137 0.0007059650420910865 6.45208788 1.78951686e-005 340.701721 8.71369457 -272030.5 -203473.094 203473 155613.75
0.00040980965767964145 0.00071299732919451013 6.492414 1.78951614e-005 337.61911 8.73521042 -273194.156 -205037.266 205037.234 157335.625
0.00041504073970446102 0.000720022319824279 6.52895784 1.78951468e-005 334.535309 8.75161171 -274538.125 -206726.844 206726.844 159142.75
0.00042028577764856886 0.00072703976167546756 6.56222439 1.78951268e-005 331.450592 8.76336288 -276065.406 -208536.922 208537 161026.875
0.00042554519360730726 0.00073405041390797569 6.59061003 1.7895105e-005 328.364136 8.7690115 -277763.906 -210481.844 210481.969 163013.844
0.00043082788690879733 0.00074106632596502512 6.61631441 1.78950795e-005 325.272644 8.77103806 -279559.281 -212502.859 212503.031 165060.422
0.00043641420243086215 0.00074845717518869852 6.66149664 1.78950777e-005 322.039307 8.79583359 -280345.844 -213896.813 213896.938 166763.438
0.00044201663874771801 0.00075584005059438559 6.70195723 1.78950722e-005 318.804352 8.81445217 -281331.594 -215435.906 215435.984 168569.859
0.00044763461265949424 0.00076321406102679941 6.7393899 1.78950577e-005 315.568787 8.82831192 -282534.219 -217108.375 217108.422 170453.609
0.00045326893058256971 0.00077058024735744191 6.77132607 1.78950395e-005 312.331268 8.83533192 -283929.563 -218932.078 218932.094 172452.844
0.00045891944322422014 0.00077793890225809467 6.79743433 1.78950177e-005 309.091675 8.83527184 -285510.25 -220907.547 220907.516 174572.156
0.00046459534422662734 0.00078530208503806132 6.82741594 1.78950031e-005 305.857117 8.8398571 -286832.313 -222711.906 222711.859 176591.047
0.00047059537597731436 0.00079305456013772165 6.87325859 1.78950031e-005 302.473236 8.86235809 -287417.625 -224056.172 224056.172 178364.109
0.00047661326466848382 0.00080079793988088743 6.91400623 1.78949995e-005 299.087738 8.87808228 -288227.75 -225561.813 225561.844 180250.094
0.00048264856753525194 0.00080853126288086673 6.951437 1.78949849e-005 295.701599 8.88836193 -289289.094 -227221.266 227221.266 182223.234
0.00048870260914802947 0.00081625620628390978 6.98153353 1.78949704e-005 292.312714 8.89010525 -290550.25 -229055.422 229055.438 184342.75
0.00049477484929510724 0.00082397283784139085 7.0046916 1.78949504e-005 288.921326 8.88368607 -292009.438 -231059.016 231059.078 186601.906
0.00050087531529116375 0.00083169394216789925 7.04082155 1.78949431e-005 285.550476 8.89311409 -292800.031 -232584.969 232585.047 188547.359
0.00050732088076020339 0.00083981766548577854 7.08704948 1.78949449e-005 282.01944 8.9130106 -293180.625 -233871.828 233871.875 190389.828
0.00051378596968022837 0.00084793054930474795 7.12881041 1.78949394e-005 278.487274 8.92611504 -293834.5 -235337.047 235337.094 192342.063
0.00052027136071789272 0.00085603309189348129 7.16450977 1.78949285e-005 274.953217 8.9312706 -294741.313 -236987.859 236987.938 194426.938
0.00052677752935859925 0.00086412616334299679 7.19214916 1.78949122e-005 271.416229 8.9271183 -295866.969 -238829.266 238829.344 196671.922
0.00053330410399282701 0.00087221009910487318 7.21156693 1.78948922e-005 267.876282 8.91362762 -297201.156 -240858.031 240858.125 199078.203
0.00053986267136949028 0.00088029932589647102 7.25608253 1.78948958e-005 264.37854 8.93048286 -297404.438 -242038.859 242038.875 200895.5
0.00054678732375476179 0.00088880260434272805 7.30322456 1.78948976e-005 260.705872 8.94792747 -297596.969 -243260.141 243260.063 202794.156
0.00055373405921900075 0.0008972940993572133 7.34453249 1.7894894e-005 257.031555 8.95706367 -298086.188 -244687.063 244686.906 204828.828
0.0005607037588462846 0.00090577454665637623 7.3778491 1.78948831e-005 253.354538 8.95651436 -298835.406 -246323.344 246323.078 207028.063
0.00056769644113672797 0.00091424433709511792 7.40230846 1.78948685e-005 249.674423 8.94579029 -299824.563 -248167.813 248167.469 209402.516
0.00057471323891630994 0.00092270564287042802 7.42090178 1.7894854e-005 245.996521 8.92902374 -300881.219 -250100.188 250099.766 211875.641
0.00058212962878591507 0.00093160853715922064 7.47505856 1.7894863e-005 242.191177 8.95252705 -300585.594 -251032.375 251031.875 213679.047
0.00058957016085402518 0.00094049829196178559 7.52311325 1.78948649e-005 238.384216 8.9668808 -300629.813 -252197.016 252196.422 215631.266
0.00059703622759807212 0.0009493759435613312 7.56205273 1.78948594e-005 234.574188 8.97036839 -300954.938 -253592.594 253591.891 217768.781
0.00060452768462732108 0.00095824148591585657 7.59177589 1.78948503e-005 230.761047 8.96296024 -301556.844 -255217.969 255217.156 220092.438
0.00061204452945015837 0.00096709515774623888 7.61163521 1.78948339e-005 226.944534 8.9443388 -302418.688 -257070.594 257069.719 222609.328
0.00061958989511082013 0.00097594144907568205 7.64033985 1.78948285e-005 223.157394 8.93728733 -302795.469 -258564.5 258563.625 224889.797
0.00062755749976734496 0.00098523865446602027 7.69598103 1.78948376e-005 219.22757 8.9582777 -302340.125 -259415.297 259414.5 226724.672
0.00063555284074418028 0.00099452233723279059 7.74232149 1.78948394e-005 215.294724 8.96767807 -302208.063 -260521.5 260520.813 228755.328
0.00064357636151455211 0.0010037928751960151 7.77806664 1.78948358e-005 211.358307 8.96487045 -302368.938 -261878.625 261878.047 230995.641
0.00065162787053729405 0.0010130501847984725 7.80324793 1.78948249e-005 207.418381 8.949893 -302821.875 -263485.906 263485.469 233444.938
0.00065970527770427181 0.00102229193480831 7.81747198 1.78948103e-005 203.475815 8.92258263 -303556.375 -265340.844 265340.563 236106.484
0.00066781973257000037 0.0010315314511230686 7.86023808 1.78948139e-005 199.597687 8.92885971 -303234.031 -266326.188 266325.969 238108.391
0.00067637855203951333 0.0010412289069999144 7.91602707 1.7894823e-005 195.554443 8.94620228 -302615.156 -267091.063 267091.094 239978.094
0.00068497164979505775 0.0010509156018207841 7.95908976 1.78948303e-005 191.505814 8.94924068 -302307.875 -268132.469 268132.688 242086.813
0.00069359550481088361 0.0010605878017359458 7.99039459 1.78948285e-005 187.453171 8.93910408 -302304.563 -269442.531 269442.969 244427.188
