X Y u mu P v dvdx dudx dvdy dudy
4.3335512495682974e-005 -0.00012692593161888851 25.3949757 1.80457027e-005 25.1023617 -14.7282515 5430.41406 55172.3867 -54902.6172 4295.80518
4.586663872646933e-005 -0.00012838553011262677 25.5292301 1.80433999e-005 22.940733 -14.6376419 6688.63086 53248.332 -53135.0352 4863.77344
4.8404576108820662e-005 -0.00012983292926962026 25.6611919 1.80419174e-005 20.9150124 -14.5564928 6960.37402 52494.0469 -52491.082 6741.78809
5.0949088767807208e-005 -0.00013126862526854726 25.7936001 1.80403676e-005 18.8650246 -14.4759245 7249.47705 51729.0703 -51836.5078 8608.82422
5.3505777162656939e-005 -0.00013269555024523054 25.9077053 1.80388779e-005 16.9058704 -14.3793135 8253.99707 49899.4023 -50034.3711 8492.97168
5.6073843009505007e-005 -0.00013411262049474034 25.9972343 1.80374773e-005 15.0298977 -14.2621479 10279.5957 46646.3086 -46671.7188 5666.94043
5.86487822817502e-005 -0.00013551702849339453 26.087162 1.80360039e-005 13.1317053 -14.1454945 12321.0977 43378.8516 -43296.3203 2827.09375
6.1229264435057909e-005 -0.00013690865737615688 26.1934528 1.80339266e-005 11.3942842 -14.0489264 13407.6572 41669.0273 -41420.4766 2247.37354
6.3815390135370825e-005 -0.00013828845073320784 26.3079891 1.80315183e-005 9.72664261 -13.9624977 14029.6855 40721.9297 -40279.3945 2777.36182
6.6412404744776757e-005 -0.00013965954218016148 26.4148083 1.80295701e-005 7.92781878 -13.8724461 15290.8564 38725.043 -38370.8086 2261.84937
6.9187166288497024e-005 -0.0001411091782321184 26.530386 1.80276656e-005 6.146626 -13.788002 15851.6377 37603.1719 -37403.8008 3250.61084
7.1967832297007935e-005 -0.00014254697445651877 26.6476154 1.80257375e-005 4.41617918 -13.7086515 16059.585 36960.5078 -36912.5977 4921.84229
7.4586667006298901e-005 -0.000143886625551294 26.6852016 1.80267762e-005 2.94252491 -13.5736609 17509.6035 33504.1445 -33647.8281 1329.16504
7.7211128342458748e-005 -0.00014521462255551268 26.7658367 1.80261086e-005 1.69589543 -13.4729557 17929.4805 31711.9199 -32099.3984 718.02887
8.0025548312886164e-005 -0.00014662368702667071 26.8352928 1.80255611e-005 0.134858042 -13.362956 19066.9727 29238.2734 -29621.4199 -1941.23694
8.2845987758298234e-005 -0.0001480205754390385 26.904871 1.80249535e-005 -1.44557738 -13.2531404 20222.8086 26740.6621 -27120.6641 -4630.85791
8.5670395199780207e-005 -0.00014940501852295422 27.001852 1.80226161e-005 -2.83884287 -13.1703491 20482.3223 26058.5 -26302.6563 -4767.41797
8.8500285147944492e-005 -0.00015077846895976109 27.0969734 1.80203497e-005 -4.26443624 -13.0857887 20824.3125 25222.1172 -25341.1602 -5117.62158
9.1339984141653114e-005 -0.00015214298794962033 27.1895714 1.80181305e-005 -5.75114393 -12.999712 21346.2109 24136.9141 -24149.9277 -5715.48779
9.4194684999370919e-005 -0.00015350142211657721 27.284523 1.80156312e-005 -7.17984629 -12.9226694 21727.1074 23332.6309 -23355.6914 -5362.28174
9.7059602959927599e-005 -0.0001548510662804613 27.2990112 1.80174138e-005 -8.43833733 -12.7914562 22723.0859 20649.0684 -20665.6992 -9158.47363
9.9925637148361269e-005 -0.00015618673463931802 27.3108406 1.80192856e-005 -9.70820904 -12.6587229 23758.0313 17880.7148 -17889.9941 -13127.0742
0.00010279851680992127 -0.00015751153398957661 27.3727169 1.80194947e-005 -10.7796106 -12.5580521 23978.6973 16515.5059 -16674.1289 -14061.7402
0.00010567852380630931 -0.00015882627395820913 27.4464417 1.80193456e-005 -11.8369684 -12.4671869 24064.1445 15406.0342 -15752.8643 -14378.2891
0.00010880315256493997 -0.00016023801739221635 27.4990253 1.80202132e-005 -13.1757498 -12.3578453 24757.957 13233.2686 -13703.5625 -16641.3848
0.00011193156035480442 -0.0001616368368439592 27.5776348 1.80192437e-005 -14.3785591 -12.2687912 24979.2598 12025.9092 -12588.2295 -17278.1387
0.00011506386143038317 -0.00016302366727853073 27.6747704 1.80169518e-005 -15.4883003 -12.1942005 24867.2852 11501.4951 -12133.5146 -16764.1055
0.00011820105652838998 -0.00016439936048953684 27.7718372 1.80146217e-005 -16.6134357 -12.1196394 24769.1055 10956.9971 -11659.0068 -16282.7402
0.00012134593938445523 -0.00016576498584069797 27.8101864 1.80153584e-005 -17.6653728 -12.0161686 24912.8438 9730.96094 -10351.9678 -18095.5371
0.00012452403235058536 -0.00016713123446712567 27.8098755 1.80181978e-005 -18.7946033 -11.894783 25475.6641 7930.66846 -8346.80762 -21390.3594
0.00012770665000094304 -0.00016848549977785193 27.8007069 1.8021281e-005 -19.9670696 -11.7687387 26143.498 5929.92822 -6110.97559 -25182.6191
0.00013089546016084588 -0.00016982852525226639 27.8115444 1.80236875e-005 -21.0858917 -11.6534624 26605.7129 4331.08105 -4348.72266 -27935.6309
0.00013408888382767986 -0.00017116018118345052 27.8854141 1.80240368e-005 -22.0047874 -11.572093 26398.2539 4034.70776 -4112.74609 -27353.9375
0.00013729062642036979 -0.00017248243959591165 27.9564075 1.80244588e-005 -22.9489288 -11.4894695 26241.8418 3635.04883 -3777.64893 -26972.1445
0.00014073073842469261 -0.00017388888941237071 27.9911079 1.80263833e-005 -24.1409359 -11.3840637 26688.3066 1920.60291 -2192.7168 -29084.166
0.00014417318370846011 -0.00017528233983379947 28.0767803 1.80250827e-005 -25.0994434 -11.311306 26494.6953 1526.80774 -1923.03357 -28509.6621
0.00014743002817734703 -0.00017658858462329689 28.1598606 1.80236839e-005 -26.0063343 -11.243988 26292.3672 1198.7561 -1711.95178 -27874.9883
0.00015069995861685166 -0.00017788794394849755 28.1045189 1.80293082e-005 -26.7371159 -11.1137648 26576.4707 -1088.36462 579.757202 -32946.6563
0.00015396679521858863 -0.00017917384298716933 28.1165543 1.80332972e-005 -27.4775047 -11.0161324 26425.5977 -1901.10559 1456.18225 -34774.9375
0.00015723800105043865 -0.00018044974669916477 28.1340847 1.80369516e-005 -28.3256416 -10.9239435 26443.3457 -2612.87427 2311.16357 -36335.7578
0.00016075972419396354 -0.00018181046075973285 28.1320229 1.80413263e-005 -29.289072 -10.816083 26686.8359 -3838.71899 3708.43921 -39024.2578
0.00016428718504268215 -0.00018316008690490046 28.1495247 1.80449242e-005 -30.2217922 -10.7175817 26789.9453 -4704.83252 4711.60986 -40757.8555
0.00016781710932940231 -0.00018449785775034516 28.2280674 1.80461557e-005 -31.0330963 -10.6483345 26440.6406 -4422.99268 4460.62207 -39465.2266
0.00017135197976899546 -0.00018582503860045655 28.293539 1.80478601e-005 -31.8832588 -10.5728788 26195.6973 -4399.65674 4490.19775 -38843.582
0.00017489432670645021 -0.00018714249536226722 28.347332 1.80500065e-005 -32.7744942 -10.4927664 26085.4902 -4716.22021 4828.43848 -38865.3281
0.00017870211455602248 -0.00018854519583531517 28.4126987 1.80507177e-005 -33.6512718 -10.4162636 25970.8496 -5215.2168 5191.25098 -38613.0469
0.00018232774018730731 -0.00018986807605813846 28.3573112 1.8059789e-005 -34.2302017 -10.2975693 26073.7676 -7060.50928 6936.47852 -42769.3242
0.00018594467550099797 -0.00019117518838168555 28.285862 1.80699553e-005 -34.7929878 -10.1727028 26224.5879 -9112.64648 8895.24707 -47560.5859
0.00018956856315316734 -0.00019247232570302638 28.2597504 1.80784355e-005 -35.3840179 -10.0673695 26177.498 -10388.7207 10111.6777 -50415.2422
0.00019319751387320737 -0.00019375939545411653 28.3232174 1.80835868e-005 -36.0194855 -10.0006962 25734.1016 -10123.1709 9852.1582 -49423.6641
0.00019683120977407912 -0.00019503667746385552 28.3330822 1.80902043e-005 -36.7586861 -9.91461182 25691.0703 -10737.6699 10565.7549 -50900.5156
0.00020075990761384485 -0.00019640471827528085 28.3194733 1.80980132e-005 -37.6094017 -9.81286526 25827.8164 -11804.3965 11781.1289 -53622.0703
0.00020469319844099198 -0.00019776136889329177 28.3821201 1.81017767e-005 -38.3674355 -9.74429989 25545.2012 -11529.2695 11610.2363 -52644.0469
0.00020862898920495307 -0.00019910651413936585 28.4627533 1.81045707e-005 -39.1100616 -9.68362999 25166.8184 -10942.5928 11117.1367 -50802.9688
0.00021256852682192384 -0.00020044074500964002 28.5428371 1.81073774e-005 -39.8622818 -9.62276649 24795.625 -10372.46 10640.7256 -49001.9844
0.00021651408454024081 -0.00020176480386281583 28.548914 1.81179366e-005 -40.4132423 -9.53622818 24476.0566 -10538.668 10853.4521 -49718.0352
0.00022055024847143445 -0.0002031066991420843 28.4992733 1.81332398e-005 -40.8835106 -9.43058968 24450.25 -11835.4434 12060.9365 -53175.2227
0.00022458811333194456 -0.00020443638719526251 28.4204769 1.81501764e-005 -41.3455238 -9.31352425 24526.2637 -13566.167 13680.0908 -57860.4805
0.00022862975582929086 -0.00020575434344577184 28.3409882 1.81671603e-005 -41.816452 -9.19623184 24608.3867 -15312.418 15315.1543 -62587.2305
0.00023268256012099885 -0.00020706338776590267 28.3640709 1.81784235e-005 -42.3577881 -9.11934185 24349.0215 -15555.6582 15529.7129 -63049.3477
0.00023673624113231448 -0.00020836087712086687 28.4246197 1.81875839e-005 -42.9293785 -9.05734634 23967.293 -15252.1826 15228.2754 -61959.082
0.00024079729028284901 -0.00020964907737877289 28.4666386 1.8197512e-005 -43.5359802 -8.98902893 23689.0391 -15232.3838 15230.5488 -61676.1328
0.00024517195417458475 -0.00021102366718899742 28.4543457 1.82102667e-005 -44.2855225 -8.89651108 23714.7539 -16073.5352 16165.3477 -63839.9609
0.00024954915242852082 -0.00021238603752367309 28.5294857 1.82160584e-005 -44.9704514 -8.83920479 23375.0898 -15501.8252 15692.1963 -62084.2539
0.00025372387969157476 -0.00021367384253766214 28.5886497 1.82231215e-005 -45.6069031 -8.78051662 23064.2051 -15067.5469 15346.4414 -60808.168
0.00025789326271963601 -0.00021494849893095332 28.4615879 1.82536132e-005 -45.8770142 -8.66098213 22884.7461 -16177.5244 16458.793 -65242.8789
0.00026207085890237635 -0.00021621402462572862 28.4015751 1.82795702e-005 -46.1962624 -8.56475639 22641.3613 -16787.8711 17067.5938 -67812.3672
0.00026625869718822031 -0.00021747150869862088 28.437706 1.82983204e-005 -46.5975914 -8.50236988 22356.543 -16793.9824 17049.0195 -67861.5469
0.0002707746919583778 -0.0002188152026829219 28.3898506 1.83224056e-005 -47.0307617 -8.40625191 22303.3574 -17829.168 18007.4727 -70883.2109
0.00027529415894402389 -0.00022014688228622704 28.3409939 1.83466072e-005 -47.4712906 -8.30981445 22255.2852 -18880.7305 18982.2813 -73953.4453
0.0002798205526288464 -0.00022146801655719903 28.3871937 1.83627017e-005 -47.9751625 -8.24758911 21966.6563 -18737.0801 18833.9043 -73353.2266
0.00028434648173817229 -0.00022277721727777976 28.4778099 1.83749944e-005 -48.5116882 -8.20145988 21566.9824 -18036.1309 18162.2676 -71040.9844
0.00028887767496769425 -0.00022407629040251784 28.5419331 1.83895991e-005 -49.0401459 -8.14578819 21237.2012 -17672.916 17809.1152 -69763.8203
0.00029341732207057342 -0.00022536594685141321 28.5835514 1.8405759e-005 -49.5919609 -8.08280945 20991.209 -17600.6348 17752.0176 -69366.4219
0.0002981117914708673 -0.00022668740553266121 28.5834713 1.84273576e-005 -50.0947227 -8.00936985 20790.2773 -17720.8281 17909.9727 -69892.875
0.00030279535005780513 -0.00022799363276294725 28.4575081 1.84733835e-005 -50.3341675 -7.89933062 20630.291 -18664.7598 18838.8008 -73903.5938
0.00030748196067456249 -0.00022928834556364954 28.3304996 1.85195913e-005 -50.5795135 -7.78898382 20474.0273 -19622.2383 19781.0859 -77958.3906
0.00031217362815483604 -0.00023057205144470691 28.2261105 1.85635781e-005 -50.8443108 -7.68583107 20303.3594 -20439.3945 20581.8125 -81430.7969
0.00031687447956820516 -0.00023184649837789187 28.2903576 1.85904719e-005 -51.2111092 -7.63627052 20006.6621 -20166.2676 20283.9805 -80453.6172
0.00032158597562105225 -0.0002331126760238343 28.3530693 1.86176203e-005 -51.5839195 -7.58614016 19714.4707 -19911.4922 20004.2891 -79537.3594
0.00032666585935430637 -0.00023446501938021634 28.3016224 1.86547622e-005 -52.0004272 -7.49629498 19677.5664 -20758.0918 20808.7363 -82436.8906
0.00033175295953608204 -0.00023580584099322928 28.2926884 1.86864545e-005 -52.4460487 -7.42044973 19556.7324 -21143.5371 21180.0605 -83792.5313
0.00033683940170968284 -0.00023713386860476379 28.3769112 1.87060505e-005 -52.9457474 -7.37541723 19250.1699 -20514.2988 20597.498 -81753.0781
0.00034192884068747018 -0.00023845067350198416 28.4603367 1.87258065e-005 -53.4512024 -7.33015203 18946.7441 -19896.2168 20026.0352 -79749.4375
0.00034682028651460595 -0.00023970492010963226 28.4205875 1.87723927e-005 -53.756649 -7.25513124 18603.5449 -19659.8262 19824.5215 -80064.3672
0.00035170194151821333 -0.00024094565178961979 28.3549137 1.88344329e-005 -53.9370956 -7.17511845 18266.4863 -19624.2188 19805.5137 -81346.6719
0.00035658897721980217 -0.00024217686670212745 28.3218975 1.88872455e-005 -54.1733284 -7.10378981 18092.9648 -19943.2695 20108.5176 -82938.8438
0.00036187228272365011 -0.00024349552746445209 28.2411098 1.89480652e-005 -54.4198875 -7.01387882 17944.5918 -20554.0098 20692.2598 -85629.4063
0.0003671585017087129 -0.00024480183797513449 28.1589622 1.90092123e-005 -54.6715851 -6.92359734 17799.1191 -21177.6855 21288.8574 -88367.6484
0.00037245553419225076 -0.00024609802143257765 28.1596241 1.90580886e-005 -54.9788971 -6.85756445 17600.2285 -21297.8848 21390.2188 -88993.4688
0.00037775201346235685 -0.00024738193618054299 28.22328 1.90975661e-005 -55.329071 -6.81010008 17361.4219 -21035.7051 21115.5156 -88013.5469
0.00038305125633710505 -0.00024865472299922213 28.2861137 1.91372801e-005 -55.6841431 -6.76241827 17124.9609 -20782.7207 20849.9746 -87066.2656
0.00038835956032008803 -0.00024991782421424102 28.3190079 1.91801482e-005 -56.0510559 -6.70663691 16942.9199 -20785.8027 20835.1816 -87024.1797
0.00039410076373616783 -0.00025127073395524028 28.3462734 1.92198222e-005 -56.4993172 -6.64646387 16778.5098 -20787.8672 20841.2422 -86941.2734
0.00039963988310851093 -0.00025256343373530302 28.2890091 1.92918342e-005 -56.7616653 -6.57097483 16511.3105 -20738.3359 20804.0547 -87727.3281
0.00040515738222372084 -0.00025383887138558597 28.1333103 1.93957349e-005 -56.8857422 -6.47191286 16223.6123 -20998.6973 21064.7637 -90394.8906
0.00041067737586591616 -0.00025510247354750237 27.976305 1.95000703e-005 -57.0139961 -6.37252474 15937.9033 -21269.0527 21335.3965 -93103.0469
0.00041621628625350084 -0.00025635830953447329 27.9834385 1.95747889e-005 -57.2397308 -6.315207 15711.2529 -21193.9277 21254.4551 -93397.4375
0.00042175259617232349 -0.00025760210519882768 28.0510769 1.96385481e-005 -57.5037308 -6.27351952 15508.208 -20995.6387 21048.0449 -92813.2813
0.00042729202674936901 -0.00025883505984920156 28.0138359 1.97143945e-005 -57.7576294 -6.2053299 15387.3291 -21327.2695 21367.5957 -94430.7813
0.00043328330477391565 -0.00026015509615066971 27.9318619 1.98014004e-005 -58.0312157 -6.12107611 15290.0771 -21899.1172 21924.791 -97064.8594
0.00043928353496352921 -0.00026146357974147767 27.9818993 1.98596681e-005 -58.3773155 -6.07210398 15110.8887 -21710.8887 21743.2441 -96306.375
0.00044528153034849381 -0.000262759009231988 28.0764542 1.9908277e-005 -58.7505722 -6.03511381 14905.001 -21268.0215 21314.3203 -94408.7266
0.00045128216585492474 -0.00026404275532669347 28.1700134 1.99572787e-005 -59.1280479 -5.99787474 14700.9023 -20833.6758 20893.8574 -92545.2344
0.00045721147942849279 -0.00026529936194564786 28.0743008 2.00817612e-005 -59.2800407 -5.92213583 14340.4453 -20404.1035 20480.3594 -92451.6641
0.00046312978578000303 -0.00026654213445490422 28.0680542 2.01981602e-005 -59.4336433 -5.86708021 14106.9629 -20222.584 20299.2363 -92733.2578
0.00046941440635710197 -0.00026784907311098289 27.9616947 2.03290037e-005 -59.5907402 -5.78487635 13923.6328 -20482.2227 20542.7852 -94859.4531
0.00047570149350966893 -0.00026914298469589784 27.853775 2.0460544e-005 -59.7516403 -5.70231438 13741.7031 -20750.7539 20795.1797 -97027.2969
0.00048199104075735379 -0.00027042374367116463 27.7442837 2.05927863e-005 -59.9163704 -5.61939144 13561.1875 -21028.2559 21056.5039 -99237.1641
0.0004882919681615857 -0.00027169368135044188 27.7970924 2.06837412e-005 -60.1685791 -5.57479143 13398.1006 -20887.1543 20901.0059 -98722.3359
0.00049459337919301671 -0.00027295127974731007 27.8666077 2.07706435e-005 -60.4334564 -5.5341692 13238.1553 -20706.918 20706.5391 -97939.4219
0.00050089725575488779 -0.00027419705441643588 27.9351635 2.08580659e-005 -60.7020416 -5.49332809 13079.5264 -20533.5801 20518.9375 -97186.6719
0.00050721073880275532 -0.00027543223927496382 27.9505615 2.09547852e-005 -60.9752083 -5.44027042 12960.8633 -20611.1523 20584.1934 -97630.9141
0.0005140475442304012 -0.00027675598018406776 28.0003242 2.10337184e-005 -61.335144 -5.39287424 12820.4521 -20408.3438 20400.9883 -96803.4063
0.00052070757712579054 -0.00027803224115025422 27.8369904 2.12348859e-005 -61.4281693 -5.30737591 12543.8232 -20251.7598 20260.9238 -98151.2656
0.00052732659752330823 -0.00027928775123266914 27.6648769 2.14402426e-005 -61.5141869 -5.22050047 12265.7617 -20110.6328 20135.7969 -99628.6953
0.00053394768856138684 -0.00028053063099287771 27.4913464 2.16464487e-005 -61.6033974 -5.13332844 11988.626 -19976.2813 20017.377 -101140.555
0.0005405891756932352 -0.00028176461527813215 27.532156 2.17870656e-005 -61.7933922 -5.08995819 11843.8779 -19842.8828 19879.2051 -101011.008
0.00054722910795751618 -0.00028298611575424244 27.6037216 2.19184549e-005 -62.0007439 -5.052917 11719.7119 -19715.1133 19743.5313 -100664.43
0.00055387541956790603 -0.00028419635143602114 27.5837688 2.20680104e-005 -62.1882095 -4.99625969 11607.043 -19840.8965 19856.1875 -101715.445
0.00056107381667222598 -0.00028549232154690616 27.4789486 2.22465242e-005 -62.3739395 -4.9171133 11495.7939 -20208.4219 20204.7578 -104127.398
0.00056828274456402733 -0.00028677530312396312 27.5413685 2.23632978e-005 -62.6458702 -4.87484694 11369.0693 -20035.1387 20027.9727 -103310.773
0.00057548928477568837 -0.00028804412988278345 27.6396961 2.24669893e-005 -62.9391975 -4.84055996 11239.8008 -19747.7461 19740.4375 -101807.695
0.00058256210751755336 -0.0002892764977184096 27.6353951 2.26371412e-005 -63.1355209 -4.79052258 11035.0166 -19359.6953 19357.8496 -100785.07
0.000589611339382735 -0.00029049240105548689 27.4583855 2.29239085e-005 -63.1710854 -4.71260166 10696.0254 -18785.8301 18799.1191 -100522.305
0.00059668442556505389 -0.00029170021267249814 27.4796047 2.31367885e-005 -63.3046417 -4.6686697 10543.9209 -18598.3105 18612.709 -100539.789
0.00060375502929249495 -0.00029289509496773088 27.437706 2.33555493e-005 -63.4376717 -4.61199903 10411.3037 -18621.2246 18631.1348 -101554.68
0.00061137454727768674 -0.00029416816251699057 27.3100281 2.36099604e-005 -63.5643463 -4.53535795 10248.0723 -18728.0723 18731.7207 -103328.125
0.0006189962500459873 -0.00029542611705448877 27.1806698 2.38657121e-005 -63.6943245 -4.45839596 10085.5059 -18841.1035 18838.4688 -105137.969
0.00062663144091731654 -0.00029667145228039394 27.2458553 2.40381596e-005 -63.911438 -4.4187479 9978.45996 -18730.8027 18718.2559 -104596.234
0.00063426261364552753 -0.00029790226778899341 27.3550701 2.41919442e-005 -64.1507874 -4.38760567 9884.89258 -18572.8594 18549.5527 -103532.813
0.00064189615106513944 -0.00029911987916118985 27.462883 2.43468894e-005 -64.3930817 -4.35619259 9791.92188 -18420.2617 18386.1758 -102500.492
0.00064953201349816827 -0.00030032436527101041 27.5692997 2.45029842e-005 -64.6383057 -4.3245101 9699.54395 -18272.9746 18228.0879 -101499.094
0.00065717108196211604 -0.00030151632665930626 27.4841442 2.48180786e-005 -64.7327652 -4.2658124 9505.49414 -17984.623 17943.4258 -101506.211
0.0006652664410732133 -0.0003027654406499707 27.3231983 2.51765941e-005 -64.818161 -4.19109917 9299.79102 -17790.2324 17758.8066 -102430.367
0.00067336111465585667 -0.0003039995914650048 27.1436939 2.5545276e-005 -64.9002075 -4.1133275 9085.73047 -17592.9219 17572.7676 -103478.453
0.00068145762799464902 -0.00030521893282184424 26.9627476 2.59154967e-005 -64.9851608 -4.03530359 8872.12207 -17400.3242 17391.4023 -104556.352
0.00068958116947520675 -0.00030642750900260532 26.9911308 2.61806817e-005 -65.1491547 -3.99162173 8767.29492 -17305.4531 17288.75 -104500.32
0.0006976991539507331 -0.00030762100391483103 27.0698872 2.6420701e-005 -65.334343 -3.95627308 8689.68848 -17238.0723 17208.9004 -104186.758
0.00070581935866256568 -0.00030880076265768226 27.1473866 2.666213e-005 -65.5222778 -3.92070103 8612.54199 -17175.1211 17133.4316 -103900.508
0.00071394993398631772 -0.00030996757413249965 27.1376953 2.69333013e-005 -65.6955414 -3.86969948 8535.3916 -17253.5391 17200.6602 -104743.328
0.000722784704435416 -0.00031121902102155576 27.1686115 2.71684985e-005 -65.9275055 -3.8227551 8455.61816 -17180.7461 17129.041 -104537.031
0.00073147453397850093 -0.00031243437171180993 27.0469112 2.75924685e-005 -66.0150299 -3.7598567 8261.47363 -16769.0605 16732.3496 -104135.773
0.00074011490241175887 -0.00031362821216732037 26.8642197 2.808098e-005 -66.0567017 -3.6891911 8035.3667 -16304.7402 16285.5029 -103993.016
0.00074875678441881652 -0.00031480759405984836 26.6799107 2.85714741e-005 -66.1008148 -3.61827111 7809.41504 -15843.9414 15842.1563 -103876.984
0.00075742759232625832 -0.00031597611209022104 26.708271 2.89350664e-005 -66.2265472 -3.57652712 7721.91357 -15718.4277 15717.6025 -103892.297
0.0007660922382487467 -0.00031712907353230262 26.7863598 2.92691366e-005 -66.3735123 -3.54165578 7667.8833 -15676.2275 15672.3887 -103959.477
0.00077477299597479305 -0.00031826926068005186 26.8059769 2.96269318e-005 -66.5050049 -3.49747753 7600.31494 -15675.9258 15667.9746 -104490.375
0.00078418934366149577 -0.00031948810177957911 26.6619282 3.0078083e-005 -66.598381 -3.42347574 7488.14258 -15789.6563 15774.1572 -106349.227
0.00079362610202751835 -0.00032069108836117055 26.7151108 3.03875877e-005 -66.7674942 -3.38089609 7419.97607 -15718.1113 15696.4883 -105971.492
0.00080305648384829012 -0.00032187615882471252 26.8161564 3.06630391e-005 -66.9573822 -3.34601116 7363.07568 -15603.6006 15576.1953 -105059.594
0.000812379378006528 -0.00032303218816595169 26.6464443 3.12886405e-005 -66.9572296 -3.28341556 7142.96924 -15003.4805 14983.5059 -103813.969
